SWEDEN,M-MADE F'MNT/SPUN YRN(INC.WAS)
SWITZERLAND,M-MADE F'MNT/SPUN YRN(INC.WAS)
SYRIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
TAIWAN,M-MADE F'MNT/SPUN YRN(INC.WAS)
TAJIKISTAN,MEDICINAL & PHRMACUTICL PRODTS
TANZANIA REP,M-MADE F'MNT/SPUN YRN(INC.WAS)
THAILAND,M-MADE F'MNT/SPUN YRN(INC.WAS)
TOGO,"FERTILIZERS,CRUDE"
TOKELAU IS,MACHRY EXCPT ELEC & ELECTRONIC
TRINIDAD,MADEUP TEXTILE ARTICL
TUNISIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
TURKEY,M-MADE F'MNT/SPUN YRN(INC.WAS)
TURKMENISTAN,INORGANIC CHEMICALS
TURKS C IS,MACHRY EXCPT ELEC & ELECTRONIC
TUVALU,MACHRY EXCPT ELEC & ELECTRONIC
U ARAB EMTS,M-MADE F'MNT/SPUN YRN(INC.WAS)
U K,M-MADE F'MNT/SPUN YRN(INC.WAS)
U S A,M-MADE F'MNT/SPUN YRN(INC.WAS)
UGANDA,M-MADE F'MNT/SPUN YRN(INC.WAS)
UKRAINE,M-MADE F'MNT/SPUN YRN(INC.WAS)
UNSPECIFIED,M-MADE F'MNT/SPUN YRN(INC.WAS)
URUGUAY,M-MADE F'MNT/SPUN YRN(INC.WAS)
UZBEKISTAN,M-MADE F'MNT/SPUN YRN(INC.WAS)
VENEZUELA,M-MADE F'MNT/SPUN YRN(INC.WAS)
VIETNAM SOC REP,M-MADE F'MNT/SPUN YRN(INC.WAS)
VIRGIN IS US,MEDICINAL & PHRMACUTICL PRODTS
YEMEN REPUBLC,M-MADE F'MNT/SPUN YRN(INC.WAS)
ZAMBIA,LEATHER
ZIMBABWE,LEATHER
